Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,13000.0,9300.0,8100.0,13000.0,9000.0,19000.0,11000.0,26000.0,24000.0,16000.0,19400.0,22000.0,16559.0,46764.0,29454.0,9323.0,18316.0,27879.0,39600.0,9789.0,30868.0,63224.0,135645.0,106583.0,98678.0,72362.0,51603.0,79545.0,80796.0,76251.0,15052.0,10561.0
Albania,,,,,,,31.0,114.0,129.0,165.0,102.0,151.0,116.0,35.0,12.0,12.0,31.0,26.0,39.0,43.0,30.0,33.0,35.0,47.0,12.73,31.78,8.69,4.22,8.13,2.89,33.18,1821.62
Algeria,7064.0,174.0,20980.0,922.0,8473.0,3521.0,4575.0,3235.0,7973.0,3387.0,5909.0,6699.0,6942.0,8273.0,8383.0,10589.0,11174.0,10798.0,11224.0,11774.0,12109.0,15658.0,15910.0,12864.0,14722.26,15060.64,14938.08,14059.75,14637.99,17009.18,15042.88,13454.18
Angola,60.0,30.0,10.0,20.0,20.0,30.0,20.0,20.0,50.0,20.0,460.0,120.0,331.0,301.0,311.0,436.0,450.0,454.0,692.0,770.0,502.0,746.0,899.0,648.0,1281.65,482.54,815.96,591.02,321.56,1870.2,406.63,942.55
Antigua and Barbuda,6.0,10.0,5.0,15.0,30.0,10.0,10.0,2.0,0.0,4.0,34.0,25.0,18.0,3.0,242.0,84.0,6.0,12.0,21.0,25.0,38.0,121.0,187.0,80.0,76.85,62.13,63.98,115.25,142.55,76.56,23.67,7.28
Argentina,5.0,36.0,79.0,119.0,339.0,269.0,400.0,276.0,456.0,655.0,396.96,410.0,184.0,175.0,299.0,503.0,319.0,443.0,404.0,218.0,298.0,335.0,278.0,259.0,299.51,438.51,285.88,394.18,346.24,318.46,316.79,469.07
Armenia,,,,,60.0,129.0,44.0,98.0,105.0,189.0,127.0,160.0,160.0,193.0,133.0,283.0,218.0,252.0,264.0,217.0,276.0,348.0,385.0,327.0,291.25,414.15,378.0,339.49,368.51,344.17,503.9,476.36
Australia,17767.0,16537.0,17022.0,16627.0,18653.0,15300.0,17680.0,18000.0,19000.0,16314.0,16490.0,14984.0,15204.0,14004.0,14666.0,14487.0,13386.0,13875.0,14448.0,13296.0,14023.0,12910.0,14081.0,13713.0,21557.89,20894.62,20262.1,13839.17,13176.46,13989.08,13096.86,13423.84
Austria,1715.0,1404.0,1810.0,1715.0,2147.0,2276.0,2109.0,2055.0,2326.0,2648.0,2497.0,2420.0,2124.0,1843.0,2028.0,2544.0,2269.0,2858.0,2646.0,2811.0,3368.0,3093.0,3175.0,3146.0,3408.64,3181.6,3649.69,3555.46,3523.21,3394.93,2550.99,3219.8
Azerbaijan,,,,2042.0,2138.0,3975.0,8109.0,6348.0,7000.0,3168.0,2703.0,6541.0,5147.0,4316.0,9474.0,7713.0,6823.0,8137.0,7036.0,7740.0,8469.0,9180.0,7635.0,8955.0,8183.03,11875.28,11593.46,13697.73,12957.73,14095.91,13984.89,13965.25
