Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,35100000.0,26320000.0,18300000.0,28000000.0,21000000.0,45000000.0,30000000.0,55000000.0,102000000.0,59000000.0,87700000.0,45300000.0,26981000.0,89814000.0,49876000.0,11492000.0,33202000.0,53463000.0,40063000.0,9302000.0,38050000.0,85915000.0,225322000.0,164125000.0,111711000.0,129025000.0,89671000.0,141649000.0,146110000.0,123053000.0,40202000.0,34400000.0
Albania,,,,,,,59000.0,190000.0,214000.0,219000.0,201000.0,150000.0,212000.0,95000.0,78000.0,134000.0,160000.0,273000.0,390000.0,411000.0,388000.0,472000.0,567000.0,692000.0,131000.0,314000.0,140000.0,90000.0,128000.0,72000.0,263000.0,9411000.0
Algeria,16636000.0,764000.0,94786000.0,1954000.0,21214000.0,10744000.0,21546000.0,8220000.0,19638000.0,8178000.0,14000000.0,11481000.0,7382000.0,8566000.0,9469000.0,11942000.0,11772000.0,11781000.0,13524000.0,13940000.0,35466000.0,20748000.0,27384000.0,25475000.0,31160000.0,33003000.0,35136000.0,33881000.0,58070000.0,60098000.0,55613000.0,57912000.0
Angola,360000.0,400000.0,120000.0,150000.0,170000.0,260000.0,100000.0,80000.0,90000.0,30000.0,1300000.0,600000.0,1160000.0,1092000.0,1527000.0,1830000.0,2881000.0,4351000.0,6301000.0,6150000.0,4042000.0,6299000.0,7614000.0,6019000.0,10630000.0,4331000.0,6291000.0,5377000.0,4134000.0,6855000.0,1531000.0,3145000.0
Antigua and Barbuda,85000.0,105000.0,60000.0,150000.0,280000.0,110000.0,120000.0,28000.0,3000.0,11000.0,43000.0,35000.0,116000.0,57000.0,465000.0,286000.0,123000.0,198000.0,121000.0,244000.0,253000.0,300000.0,330000.0,285000.0,259000.0,246000.0,222000.0,326000.0,385000.0,296000.0,199000.0,119000.0
Argentina,66000.0,221000.0,819000.0,922000.0,1361000.0,1293000.0,1705000.0,1585000.0,2301000.0,2582000.0,1662000.0,1519000.0,439000.0,644000.0,789000.0,1130000.0,1023000.0,1490000.0,1594000.0,959000.0,1492000.0,1762000.0,1703000.0,1490000.0,1717000.0,1912000.0,1864000.0,2146000.0,2101000.0,1685000.0,1341000.0,1922000.0
Armenia,,,,,150000.0,1398000.0,119000.0,167000.0,167000.0,415000.0,425000.0,521000.0,521000.0,608000.0,508000.0,1356000.0,970000.0,1530000.0,1930000.0,1740000.0,2098000.0,2584000.0,2951000.0,2404000.0,2435000.0,2568000.0,2387000.0,2475000.0,2870000.0,2528000.0,2602000.0,2847000.0
Australia,41655000.0,41957000.0,42537000.0,40004000.0,44933000.0,42428000.0,47401000.0,47978000.0,53269000.0,52879000.0,55371000.0,48830000.0,54590000.0,62821000.0,67182000.0,75550000.0,70845000.0,85319000.0,91505000.0,86749000.0,98969000.0,107984000.0,114524000.0,112925000.0,113658000.0,105305000.0,98834000.0,110477000.0,106915000.0,109308000.0,105951000.0,115295000.0
Austria,7473000.0,6053000.0,7006000.0,6280000.0,7448000.0,9882000.0,9600000.0,8300000.0,9719000.0,11500000.0,6947000.0,8270000.0,9190000.0,9612000.0,8826000.0,12276000.0,11895000.0,18268000.0,19468000.0,20112000.0,22258000.0,24956000.0,24068000.0,26236000.0,28738000.0,24381000.0,24687000.0,27173000.0,29289000.0,27493000.0,21411000.0,25040000.0
Azerbaijan,,,,4514000.0,4774000.0,3407000.0,12612000.0,8925000.0,12000000.0,5682000.0,6000000.0,22091000.0,14274000.0,9912000.0,18286000.0,14603000.0,12864000.0,15005000.0,15923000.0,16931000.0,18100000.0,20398000.0,16444000.0,20322000.0,18992000.0,53868000.0,54756000.0,77682000.0,49807000.0,55049000.0,56187000.0,61858000.0
Bahamas,811000.0,940000.0,889000.0,700000.0,762000.0,350000.0,200000.0,956000.0,600000.0,120000.0,1113000.0,1127000.0,225000.0,260000.0,288000.0,1041000.0,1270000.0,1439000.0,1170000.0,1356000.0,575000.0,483000.0,1698000.0,1443000.0,1406000.0,1608000.0,1567000.0,1656000.0,2975000.0,1703000.0,1193000.0,974000.0
Bahrain,3700000.0,4200000.0,4300000.0,3000000.0,5991000.0,6500000.0,6500000.0,5130000.0,1100000.0,670000.0,5399000.0,5462000.0,6327000.0,7166000.0,6636000.0,6708000.0,7078000.0,8384000.0,2919000.0,8421000.0,10359000.0,9884000.0,12377000.0,12454000.0,14113000.0,12735000.0,15106000.0,15865000.0,15772000.0,3834000.0,15917000.0,15780000.0
